gas,gas_name,sector,sector_name,geo,country,year,emissions
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2020,41.37875
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2021,40.7816
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2022,42.54548
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2023,35.46937
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2024,31.69518
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2015,335.8634
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2016,331.69121
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2017,312.43312
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2018,298.84782
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2019,248.68889
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2020,210.72394
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2021,238.22852
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2022,248.30279
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2023,196.0917
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2024,181.19116
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2015,12.7353
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2016,13.90438
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2017,11.43221
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2018,11.31841
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2019,8.52693
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2020,7.20946
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2021,8.16465
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2022,8.13031
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2023,6.48993
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DK,Denmark,2024,5.9592
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2015,11.81443
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2016,13.41106
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2017,14.42553
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2018,13.55554
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2019,8.10981
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2020,5.71582
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2021,6.95057
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2022,8.58876
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2023,5.42266
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EE,Estonia,2024,4.69283
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2015,40.77646
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2016,36.90961
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2017,39.81711
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2018,38.14903
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2019,31.88566
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2020,24.42877
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2021,25.42011
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2022,24.68238
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2023,20.90592
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EL,Greece,2024,21.16429
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2015,84.01984
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2016,69.12152
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2017,79.24499
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2018,69.93077
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2019,54.55874
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2020,40.21098
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2021,40.63072
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2022,52.41737
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2023,41.00174
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,ES,Spain,2024,36.48832
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2015,1102.5658
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2016,1078.27489
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2017,1075.08795
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2018,1013.64233
