freq,size_emp,nace_r2,indic_is,unit,country_code,year,ai_adoption_pct
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LU,2021,13.0
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LU,2023,14.45
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LU,2024,23.73
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LU,2025,33.61
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LV,2021,3.72
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LV,2023,4.53
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LV,2024,8.83
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,LV,2025,12.21
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,ME,2021,3.34
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,ME,2023,5.61
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,ME,2024,7.91
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,ME,2025,10.05
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,MT,2021,10.16
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,MT,2023,13.17
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,MT,2024,17.3
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,MT,2025,21.51
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NL,2021,13.1
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NL,2023,14.1
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NL,2024,23.06
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NL,2025,33.21
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NO,2021,10.82
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NO,2023,9.17
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NO,2024,20.77
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,NO,2025,28.89
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PL,2021,2.86
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PL,2023,3.67
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PL,2024,5.9
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PL,2025,8.36
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PT,2021,7.2
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PT,2023,7.86
