id,org_id,name,status,city,country,latitude,longitude,website,available_voltage_services
10343,5459,China Mobile International - Frankfurt DC,ok,Mörfelden-Walldorf,DE,49.986494,8.582706,https://www.cmi.chinamobile.com,
10373,7336,DOKOM21 RZ Hörde,ok,Dortmund,DE,51.49095,7.499582,http://www.dokom21.de,
10419,29010,Polcom Alwernia Datacenter,ok,Grojec,PL,50.096912,19.556092,https://polcom.com.pl,
10420,29010,Polcom Skawina Datacenter,ok,Skawina,PL,49.98829,19.837396,https://polcom.com.pl,
10442,2187,Aqua Ray Aurora,ok,Ivry-sur-Seine,FR,48.820065,2.393685,https://www.aquaray.com,
10487,29085,BizTelecom - Chiajna,ok,Chiajna,RO,44.454234,25.975813,https://www.biztelecom.ro,
10579,2172,InterDC Enschede Marssteden,ok,Enschede,NL,52.216301,6.820988,http://www.interracks.com,
10587,1959,DNA Oulu Torikatu,ok,Oulu,FI,65.012644,25.468253,http://www.dna.fi,
10645,15338,DATA4 Madrid-Alcobendas - MAD1,ok,Alcobendas,ES,40.535051,-3.647835,http://www.data4group.com/,
10647,15338,DATA4 Paris Marcoussis PAR2,ok,Marcoussis,FR,48.663145,2.212298,http://www.data4group.com/,
10701,27106,Beyond.pl - DC2 / Poznan,ok,Poznan,PL,52.378181,16.976879,http://www.beyond.pl,
10702,27106,Beyond.pl - DC1 / Poznan,ok,Poznan,PL,52.401079,16.928119,http://www.beyond.pl,
10714,942,GlobalConnect Gothenburg,ok,Hisings Kärra,SE,57.775306,11.99244,https://www.globalconnect.net,
10715,942,GlobalConnect Järfälla,ok,Järfälla,SE,59.407058,17.835294,https://www.globalconnect.net,
10739,30154,Advanced MedioMatrix,ok,Peltre,FR,49.085508,6.243873,http://advanced-mediomatrix.com/en,
10740,4570,NorthC Rotterdam Zestienhoven 1,ok,Rotterdam,NL,51.953104,4.448025,https://www.northcdatacenters.com/,
10741,4570,NorthC Nieuwegein,ok,Nieuwegein,NL,52.018332,5.104366,https://www.northcdatacenters.com/,
10774,29776,Alpes Networks DataCenter,ok,Chavanod,FR,45.891181,6.079682,https://www.alpes.net,
